id;bed_reference_id;bed_name;ward_allocation_date
1;Viaduct;SDR Corporate reboot;2022-09-30
2;purple withdrawal;Ergonomic Product;2022-09-29
3;deposit;Pizza back-end;2022-09-29
4;grey Bedfordshire solid state;Montana;2022-09-30
5;bottom-line magenta;contingency programming index;2022-09-29
6;Sleek capacitor;world-class Kyat initiatives;2022-09-29
7;connect Ergonomic;Developer;2022-09-30
8;USB Antarctica (the territory South of 60 deg S);Steel;2022-09-29
9;Infrastructure parsing auxiliary;Agent;2022-09-30
10;Washington;Crest withdrawal Small Wooden Bacon;2022-09-30
